大南正編列傳初集卷之三十。	ĐẠI NAM CHÍNH BIÊN LIỆT TRUYỆN Tập đầu, quyển 30.
绍聚众商议。	Thiệu họp các tướng lại bàn.
操曰：“董卓屯兵虎牢，截俺诸侯中路，今可勒兵一半迎敌。”	Tháo nói: - Đổng Trác đóng quân ở Hổ Lao, là cốt chẹn đường chư hầu. Nay nên chia quân ra, một nửa ra đó nghênh địch.
绍乃分王匡、乔瑁、鲍信、袁遗、孙融、张杨、陶谦、公孙瓒八路诸侯，往虎牢关迎敌。	Thiệu bèn cắt Vương Khuông, Kiều Mạo, Pháo Tín, Viên Dị, Khổng Dung, Trương Dương, Đào Khiêm, Công Tôn Toản cả thảy tám vị chư hầu đến cửa Hổ Lao đón địch.
操引军往来救应。	Tào Tháo thì dẫn quân đi lại tiếp ứng.
八路诸侯，各自起兵。河内太守王匡，引兵先到。	Chư hầu đều khởi binh đến, thái thú Vương Khuông đi trước.
吕布带铁骑三千，飞奔来迎。	Lã Bố đem năm nghìn quân thiết kỵ lại.
王匡将军马列成阵势，勒马门旗下看时，见吕布出阵：头戴三叉束发紫金冠，体挂西川红锦百花袍，身披兽面吞头连环铠，腰系勒甲玲珑狮蛮带；弓箭随身，手持画戟，坐下嘶风赤兔马：果然是“人中吕布，马中赤兔”！	Vương Khuông đem quân mã, bày thành thế trận, cưỡi ngựa đứng dưới cửa cờ, trông thấy Lã Bố ra trận mình mặc áo gấm đỏ trăm hoa, ngoài khoác áo giáo thú diện liên hoàn; dưới thắt dây lưng sư man, lưng đeo một bộ cung tên; tay cầm một ngọn họa kích, cưỡi ngựa xích thố.
王匡回头问曰：“谁敢出战？”	Khuông ngoảnh lại hỏi ai dám ra đánh?
后面一将，纵马挺枪而出。匡视之，乃河内名将方悦。	Đằng sau có một tướng vác ngọn giáo, tế ngựa chạy ra; đó là một danh tướng ở Hà Nội, tên là Phương Duyệt.
两马相交，无五合，被吕布一戟刺于马下，挺戟直冲过来。	Hai ngựa giao nhau, chưa được năm hiệp, Duyệt bị Lã Bố đánh một ngọn kích ngã xuống ngựa. Bố xông thẳng vào.
匡军大败，四散奔走。	Quân Vương Khuông thua to, chạy tán loạn ra bốn mặt.
布东西冲杀，如入无人之境。	Bố xông xáo vào đám quân Khuông, như chạy vào nơi không người.
幸得乔瑁、袁遗两军皆至，来救王匡，吕布方退。	May sao Kiều Mạo, Viên Di đem hai cánh quân vừa đến, cứu được Vương Khuông, quân Bố mới lui.
三路诸侯，各折了些人马，退三十里下寨。	Chư hầu ba xứ mỗi xứ mất ít nhiều người ngựa, lui ba mươi dặm, đóng trại.
随后五路军马都至，一处商议，言吕布英雄，无人可敌。	Quân năm xứ đi sau cũng dần dần kéo cả đến, họp lại bàn nhau, đều cho Lã Bố là anh hùng, không ai địch nổi.
正虑间，小校报来：“吕布搦战。”	Khi đang lo nghĩ thì có quân vào báo rằng Lã Bố đến khiêu chiến.
八路诸侯，一齐上马。军分八队，布在高冈。遥望吕布一簇军马，绣旗招飐，先来冲阵。	Chư hầu tám xư đều lên ngựa kéo ra cả, chia quân ra làm tám đội ở trên gò cao; trông ở đằng xa thấy một toán quân mã, cờ bay phất phới; Lã Bố xông đến.
上党太守张杨部将穆顺，出马挺枪迎战，被吕布手起一戟，刺于马下。	Bộ tướng của Trương Dương, thái thú Thượng Đẳng tên là Mục Thuận vác ngọn giáo tế ngựa ra đánh, bị Bố đâm một ngọn kích chết lăn từ trên ngựa xuống đất.
众大惊。	
北海太守孔融部将武安国，使铁锤飞马而出。吕布挥戟拍马来迎。战到十余合，一戟砍断安国手腕，弃锤于地而走。	Thấy thế, một bộ tướng của Khổng Dung, tên là Vũ An Quốc, vác một cái dùi sắt, tế ngựa chạy ra, Lã Bố đến, đánh nhau được mười hiệp, Bố đưa một ngọn kích đánh gãy cánh tay An Quốc. An Quốc vứt dùi sắt chạy.
八路军兵齐出，救了武安国。	Chư hầu tám xứ cùng đổ ra mới cứu được An Quốc.
吕布退回去了。众诸侯回寨商议。	Lã Bố lui quân trở về, các chư hầu lại về trại bàn với nhau.
曹操曰：“吕布英勇无敌，可会十八路诸侯，共议良策。	Tào Tháo nói: - Lã Bố anh hùng, không địch được. Nay nên họp cả mười tám nước chư hầu để bàn nhau tìm kế gì đánh được nó.
若擒了吕布，董卓易诛耳。”	Hễ bắt sống được Lã Bố, thì giết Đổng Trác chẳng khó gì nữa!
正议间，吕布复引兵搦战。	Trong khi đang bàn bạc, Lã Bố lại kéo quân đến thách đánh.
八路诸侯齐出。公孙瓒挥槊亲战吕布。战不数合，瓒败走。	Công Tôn Toản vác ngọn giáo nhảy ra đánh Lã Bố, mới được vài hiệp, Toản thua chạy.
吕布纵赤兔马赶来。那马日行千里，飞走如风。	Lã Bố thúc ngựa xích thố xấn lại đuổi, ngựa này chạy nhanh như bay.
看看赶上，布举画戟望瓒后心便刺。傍边一将，圆睁环眼，倒竖虎须，挺丈八蛇矛，飞马大叫：“三姓家奴休走！	Bố gần đuổi kịp Toản thì ở bên rìa đường, bỗng có một tướng, mắt tròn trợn ngược, râu hùm vểnh lên vác một ngọn bát xà mâu, tế ngựa đến thét lên rằng: - Thằng ở ba họ kia đừng chạy nữa!
燕人张飞在此！”	Có Trương Phi người đất Yên đây!
吕布见了，弃了公孙瓒，便战张飞。	Lã Bố thấy thế bỏ Toản, đánh nhau với Trương Phi.
飞抖擞精神，酣战吕布。	Trương Phi hăng hái cố đánh Lã Bố.
连斗五十余合，不分胜负。	Hai người đánh nhau được hơn năm mươi hiệp chưa rõ bên nào thua bên nào được.
云长见了，把马一拍，舞八十二斤青龙偃月刀，来夹攻吕布。	Quan Công đứng ngoài thấy thế cũng múa thanh long đao nặng tám mươi hai cân đến cùng đánh.
三匹马丁字儿厮杀。战到三十合，战不倒吕布。	Ba con ngựa đứng dàn kiểu chữ đinh, đánh nhau được ba mươi hiệp nữa hai người cũng vẫn không hạ được Lã Bố.
刘玄德掣双股剑，骤黄鬃马，刺斜里也来助战。	Lưu Bị bấy giờ cũng cầm đôi gươm tế ngựa chạy vào đánh giúp.
这三个围住吕布。转灯儿般厮杀。	Ba người vây tròn lấy Lã Bố đánh chẳng khác gì quân đèn cù.
八路人马，都看得呆了。	Binh mã tám xứ ngây mặt ra trông.
吕布架隔遮拦不定，看着玄德面上，虚刺一戟，玄德急闪。	Lã Bố cố sức chống đỡ không nổi, bèn nhắm giữa mặt Lưu Bị phóng vờ một ngọn kích. Lưu Bị tránh được.
吕布荡开阵角，倒拖画戟，飞马便回。	Lã Bố mở góc của trận, cắp đao ngược kích, phi ngựa chạy về.
三个那里肯舍，拍马赶来。八路军兵，喊声大震，一齐掩杀。	Ba người thúc ngựa xấn vào; quân mã tám xứ đều reo ầm lên, xô cả ra đánh.
吕布军马望关上奔走；玄德、关、张随后赶来。	Quân Lã Bố chạy về trên cửa Hổ Lao. Ba người theo sau đuổi mãi.
古人曾有篇言语，单道着玄德、关、张三战吕布：“汉朝天数当桓灵，炎炎红日将西倾。	Cổ nhân, có người làm bài ca kể chuyện Lưu Bị, Quan, Trương đánh Lã Bố rằng: Vận Hán đến Hoàn Linh suy thế, Vầng thái dương đã xế về đoài.
奸臣董卓废少帝，刘协懦弱魂梦惊。	Gian thần Đổng Trác ra oai, Phế vua; Lưu Hiệp rụng rời thất kinh.
曹操传檄告天下，诸侯奋怒皆兴兵。	Hịch Tào Tháo truyền nhanh các trấn, Chư hầu cùng nổi giận dấy binh.
议立袁绍作盟主，誓扶王室定太平。	Bản Sơ thủ lãnh đồng minh, Thề nhau giúp Hán yên bình non sông.
温侯吕布世无比，雄才四海夸英伟。	Kia Lã Bố anh hùng ai sánh, Khắp mọi người dũng mãnh nào bằng?
护躯银铠砌龙鳞，束发金冠簪雉尾。	Áo ngoài giáp bạc sáng choang, Đầu trên nhấp nhoáng mũ vàng ngù bông.
参差宝带兽平吞，错落锦袍飞凤起。	Mặt thú dữ trập trùng bảo đái, Cánh phượng bay phấp phới cấm bào.
龙驹跳踏起天风，画戟荧煌射秋水。	Vó câu gió chạy ào ào, Kích hoa sáng quắc soi vào nước trong.
出关搦战谁敢当？	Ra cửa ải tranh hùng ai dám?
诸侯胆裂心惶惶。	Các chư hầu thất đảm kinh hồn.
踊出燕人张冀德，手持蛇矛丈八枪。虎须倒竖翻金线，环眼圆睁起电光。	Trương Phi nhảy vọt ra liền, Xà mâu một ngọn trận tiền gương uy; Vểnh râu hổ gầm ghì thét mắng, Xoe mắt tròn lóng lánh lân la.
酣战未能分胜败，阵前恼起关云长。	Đánh nhau mê mải chưa tha, Vân Trường nóng tiết nhảy ra xông vào.
青龙宝刀灿霜雪，鹦鹉战袍飞蛱蝶。	Nhoáng màu tuyết, ngọn đao sắc nước, Áo chiến bào quắc thước màu hoa.
马蹄到处鬼神嚎，目前一怒应流血。	Quỷ thần thét, tiếng ngựa ra, Căm căm khí tức, mắt hoa đỏ ngầu.
枭雄玄德掣双锋，抖擞天威施勇烈。	Huyền Đức cũng giục mau ngựa nhảy. Múa đôi gươm vùng vẫy ra oai.
三人围绕战多时，遮拦架隔无休歇。	Ba người vây bọc vòng ngoài; Kẻ đâm người đỡ liền tay không rời.
喊声震动天地翻，杀气迷漫牛斗寒。吕布力穷寻走路，遥望家山拍马还。倒拖画杆方天戟，乱散销金五彩幡。	Tiếng quát háo lay trời động đất, Sát khí bay cao ngất mây xanh, Ôn Hầu thế núng nhìn quanh, Quay đầu ngựa chạy về nhau núi nhà, Cán họa kích đảo đà tếch trước, Cờ ngũ hành xơ xác bướm bay.
顿断绒绦走赤兔，翻身飞上虎牢关。”	Giật cương chạy rẽ đường mây, Hổ Lao trại ấy tọt ngay vào thành.
三人直赶吕布到关下，看见关上西风飘动青罗伞盖。张飞大叫：“此必董卓！	Ba người đuổi Lã Bố đến dưới cửa quan, trông thấy trên cửa quan có tàn lọng che, gió bay phấp phới, Trương Phi kêu to rằng: - Hẳn Đổng Trác ở đây rồi!
追吕布有甚强处？不如先拿董贼，便是斩草除根！”	Đuổi Lã Bố làm gì nữa, không bằng bắt thằng Đổng Trác mới thực là đào cây nhổ đến tận rễ.
拍马上关，来擒董卓。	Vừa nói vừa tế ngựa lên cửa quan để bắt Đổng Trác.
正是：擒贼定须擒贼首，奇功端的待奇人。	Thế mới thực là: Bắt giặc nên tìm tên đầu sỏ, Kỳ công lại phải đợi người tài.
未知胜负如何，且听下文分解。	Chưa biết rồi chuyện ra làm sao, xem đến hồi sau mới rõ.
第六回焚金阙董卓行凶匿玉玺孙坚背约	HỒI 6 Đốt Kim Quyết, Đổng Trác làm càn; Giấu ngọc tỷ, Tôn Kiên trái ước
却说张飞拍马赶到关下，关上矢石如雨，不得进而回。	Trương Phi tế ngựa xấn vào cửa quan, nhưng tên và đá bắn xuống như mưa, không thể nào tiến vào được, phải quay ngựa trở về.
八路诸侯，同请玄德、关、张贺功，使人去袁绍寨中报捷。	Chư hầu tám xứ cùng mời Lưu, Quan, Trương đến mừng công rồi sai người về trại Viên Thiệu báo tin mừng.
绍遂移檄孙坚，令其进兵。	Thiệu bèn đưa tờ hịch đến Tôn Kiên bảo Kiên tiến binh.
坚引程普、黄盖至袁术寨中相见。坚以杖画地曰：“董卓与我，本无仇隙。今我奋不顾身，亲冒矢石，来决死战者，上为国家讨贼，下为将军家门之私；而将军却听谗言，不发粮草，致坚败绩，将军何安？”	Tôn Kiên liền đem Hoàng Cái, Trình Phổ, đến trại Viên Thuật, rồi cầm gậy vạch xuống đất nói rằng: - Đổng Trác với tôi thật không có thù hằn gì, nay tôi không nghĩ gì đến thân, xông pha mũi tên hòn đạn để trừ nó, trước vì nước nhà, sau để báo thù riêng cho nhà tướng quân (trỏ Viên Ngỗi), thế mà tướng quân nghe lời gièm pha, không phát lương cho tôi, để đến nỗi tôi bị thua, sao tướng quân đành lòng thế được?
术惶恐无言，命斩进谗之人，以谢孙坚。	Thuật thấy vậy, sợ hãi không biết nói sao, bèn sai đem chém người gièm pha để tạ lỗi Tôn Kiên.
忽人报坚曰：“关上有一将，乘马来寨中，要见将军。”	Khi ấy bỗng có người đến báo với Kiên rằng: - Trên cửa ải có một tướng cưỡi ngựa đến trại, muốn vào hầu tướng quân.
坚辞袁术，归到本寨，唤来问时，乃董卓爱将李傕。	Kiên từ giã Thuật về trại, gọi hỏi ai, hóa ra viên tướng yêu của Đổng Trác, tên là Lý Thôi.
坚曰：“汝来何为？”	Kiên hỏi: - Mày lại đây làm gì?
傕曰：“丞相所敬者，惟将军耳。	Lý Thôi nói: - Thừa tướng chỉ kính trọng tướng quân thôi!
今特使傕来结亲：丞相有女，欲配将军之子。”	Nay thừa tướng muốn kết thân với tướng quân; thừa tướng có một cô con gái muốn gả cho con trai tướng quân.
坚大怒，叱曰：“董卓逆天无道，荡覆王室，吾欲夷其九族，以谢天下，安肯与逆贼结亲耶！	Tôn Kiên nổi giận mắng rằng: - Đổng Trác là thằng nghịch thiên vô đạo, làm xã tắc nghiêng đổ, ta muốn giết cả chín họ nó đi để tạ thiên hạ, sao lại thèm kết thân với nó!
吾不斩汝，汝当速去，早早献关，饶你性命！	Tao tha chém cho mày, mày về mau đem dâng cửa ải cho tao. Mau mau lên!
倘若迟误，粉骨碎身！”	Chậm thì tao băm xương ra bây giờ!
李傕抱头鼠窜，回见董卓，说孙坚如此无礼。	Lý Thôi lủi thủi ra về, kể với Đổng Trác.
卓怒，问李儒。	Trác giận lắm, bèn hỏi Lý Nho.
儒曰：“温侯新败，兵无战心。	Nho nói: - Lã Ôn Hầu thua trận mới rồi, quân sĩ ngã lòng cả, không có bụng đánh nhau nữa.
不若引兵回洛阳，迁帝于长安，以应童谣。近日街市童谣曰：西头一个汉，东头一个汉。	Nay nên kéo quân về Lạc Dương, đem vua sang Trường An, để ứng vào lời đồng giao mấy hôm nay nói rằng: Mé tây một nhà Hán, Mé đông một nhà Hán.
鹿走入长安，方可无斯难。	Hươu chạy về Trường An, Mới khỏi phải gặp nạn.
臣思此言‘西头一个汉’，乃应高祖旺于西都长安，传一十二帝；‘东头一个汉’，乃应光武旺于东都洛阳，今亦传一十二帝。	"Mé tây một nhà Hán" nghĩa là: đức Cao Tổ ngày xưa đóng đô ở Trường An, truyền ngôi được mười hai vua. "Mé đông một nhà Hán" nghĩa là: Vua Quang Vũ đóng đô ở Lạc Dương, cũng truyền ngôi được mười hai vua.
天运合回。	Thế là vận trời xoay vần.
丞相迁回长安，方可无虞。”	Nay thừa tướng lại lên thiên đô về Trường An, mới khỏi lo được.
卓大喜曰：“非汝言，吾实不悟。”	Trác mừng nói rằng: - Ngươi không nói thì ta không biết!
遂引吕布星夜回洛阳，商议迁都。	Trác bèn đem Lã Bố về Lạc Dương, rồi hội ngay các quan văn võ để bàn việc thiên đô.
聚文武于朝堂，卓曰：“汉东都洛阳，二百余年，气数已衰。	Khi các quan đã đến đông, Trác nói rằng: - Nhà Hán ta ở Lạc Dương, hơn hai trăm năm nay, khi số đã hết.
吾观旺气实在长安，吾欲奉驾西幸。汝等各宜促装。”	Ta xem bây giờ vượng khí tụ ở Trường An. Vậy ta muốn rước vua về đó, các quan nên gấp rút sắm sửa hành trang.
司徒杨彪曰：“关中残破零落。	Tư đồ là Dương Bưu nói rằng: - Trường An bị tàn phá đã lâu rồi.
今无故捐宗庙，弃皇陵，恐百姓惊动。天下动之至易，安之至难。	Nay bỗng dưng ta bỏ cả tôn miếu, hoàng lăng mà đi sang đó, tôi sợ rằng thiên hạ kinh động, mà thiên hạ kinh động lên thì dễ, yên lại thì khó.
望丞相监察。”	Xin thừa tướng hãy xét cho kỹ.
卓怒曰：“汝阻国家大计耶？”	Trác giận mắng Dương Bưu: - Ngươi lại dám ngăn trở việc lớn nước nhà à?
太尉黄琬曰：“杨司徒之言是也。往者王莽篡逆，更始赤眉之时，焚烧长安，尽为瓦砾之地；更兼人民流移，百无一二。	Thái úy là Hoàng Uyển cũng nói rằng: - Dương tư đồ nói thế phải đấy: Trước kia trong lúc Vương Mãng thoán nghịch, kế đến Canh Thủy, Xích Mi nổi loạn, Trường An bị đốt cháy thành ra tro sỏi. Vả lại nhân dân xiêu tán, trăm phần không còn một hai phần.
今弃宫室而就荒地，非所宜也。”	Tôi nghĩ không nên bỏ cả cung điện mà đi ra chỗ đất hoang ấy.
卓曰：“关东贼起，天下播乱。	Trác nói: - Ở Lạc Dương đây trộm giặc nhiều lắm, nhân dân hoạn lạc, đi mất cả.
长安有崤函之险；更近陇右，木石砖瓦，克日可办，宫室营造，不须月余。汝等再休乱言。”	Trường An có núi Hào, núi Hàm hiểm trở; lại gần Lũng Hữu, đá gỗ và gạch ngói dễ kiếm, sửa sang cung thất, độ hơn một tháng thì xong, không ai được nói lôi thôi nữa!
司徒荀爽谏曰：“丞相若欲迁都，百姓骚动不宁矣。”	Tư đồ là Tuân Sảng lại can rằng: - Thừa tướng thiên đô đi thì thiên hạ tất sẽ nhiễu động ngay.
卓大怒曰：“吾为天下计，岂惜小民哉！”	Trác tức mình gắt rằng: - Ta vì thiên hạ mà lo việc thiên đô, có xá gì những đứa tiểu dân!
即日罢杨彪、黄琬、荀爽为庶民。	Ngay hôm ấy Trác cách chức Dương Bưu, Hoàng Uyển, Tuân Sảng, giáng xuống làm thứ dân.
卓出上车，只见二人望车而揖，视之，乃尚书周毖、城门校尉伍琼也。	Trác trở ra lên xe, thấy có hai người đứng trước vái, trông ra thì là thượng thư Chu Bật và hiệu úy Ngũ Quyền.
卓问有何事，毖曰：“今闻丞相欲迁都长安，故来谏耳。”	Trác hỏi có việc gì. Bật nói: - Chúng tôi nghe thừa tướng muốn thiên đô, nên lại can ngăn.
卓大怒曰：“我始初听你两个，保用袁绍；今绍已反，是汝等一党！”	Trác giận nói: - Trước tao nghe hai chúng bay, dùng thằng Viên Thiệu cho nó làm quan, bây giờ nó làm phản. Thế ra nó với chúng bay cùng một đảng!
叱武士推出都门斩首。遂下令迁都，限来日便行。	Nói rồi Trác sai võ sĩ đem Chu Bật, Ngũ Quỳnh ra cửa phủ chém, rồi hạ lệnh thiên đô, hạn đến ngày hôm sau phải đi.
李儒曰：“今钱粮缺少，洛阳富户极多，可籍没入官。	Lý Nho xui Đổng Trác: - Nay tiền lương thiếu thốn nhiều, ở Lạc Dương nhiều nhà giàu, ta nên tịch thu của cải, lấy phát lương cho quân.
但是袁绍等门下，杀其宗党而抄其家赀，必得巨万。”	Phàm bao nhiêu môn hạ Viên Thiệu ngày trước, nên đem giết cả đi để lấy của, sẽ thu được vô số.
卓即差铁骑五千、遍行捉拿洛阳富户，共数千家，插旗头上大书“反臣逆党”，尽斩于城外，取其金赀。	Trác lập tức sai năm nghìn quân thiết kỵ đi bắt cả những người giàu ở Lạc Dương, cả thảy mấy nghìn hộ, mỗi người cầm một lá cờ lên đầu, để bốn chữ "Phản thần nghịch đảng" rồi đem ra ngoài thành chém tuốt, bao nhiêu của cải lấy sạch.
李傕、郭汜尽驱洛阳之民数百万口，前赴长安。每百姓一队，间军一队，互相拖押；死于沟壑者，不可胜数。	Lý Thôi, Quách Dĩ bắt hết cả dân Lạc Dương, ước mấy trăm vạn, đưa sang Trường An, cứ mỗi một toán dân lại cho một đội quân đi đàn áp, người chết ở dọc đường không biết bao nhiêu mà kể.
又纵军士淫人妻女，夺人粮食；啼哭之声，震动天地。	Lại cho quân sĩ đi hãm hiếp đàn bà con gái, cướp hết lương thực của dân, tiếng kêu khóc động trời chuyển đất.
如有行得迟者，背后三千军催督，军手执白刃，于路杀人。	Người nào đi chậm, đằng sau có quân lính đốc thúc; quân lính cầm dao, giết người ngay ở giữa đường.
卓临行，教诸门放火，焚烧居民房屋，并放火烧宗庙宫府。南北两宫，火焰相接；长乐宫庭，尽为焦土。	Lúc Trác ra đi, sai phóng hỏa đốt cả cửa nhà dân chúng, và tôn miếu, cung phủ; Nam, Bắc hai cung, lửa khói mù mịt: Bao nhiêu cung cấm hóa ra tro cả.
又差吕布发掘先皇及后妃陵寝，取其金宝。	Trác lại sai Lã Bố khai quật hết cả những lăng tiên hoàng, hậu phi để lấy vàng bạc châu báu.
军士乘势掘官民坟冢殆尽。	Quân sĩ thấy vậy cũng thừa thế đào mả các nhà quan, nhà dân.
董卓装载金珠缎匹好物数千余车，劫了天子并后妃等，竟望长安去了。	Đổng Trác sai xếp những đồ vàng bạc vóc nhiễu được vài nghìn xe, rồi bức thiên tử và hậu phi phải sang Trường An.
却说卓将赵岑，见卓已弃洛阳而去，便献了汜水关。	Tướng Đổng Trác tên là Triệu Xầm, thấy Trác đã bỏ Lạc Dương, bèn dâng ngay cửa Dĩ Thủy cho Tôn Kiên.
孙坚驱兵先入。玄德、关、张杀入虎牢关，诸侯各引军入。	Kiên kéo binh vào trước, Lưu Bị, Quan Vũ, Trương Phi vào cửa Hổ Lao; chư hầu cũng dẫn quân vào cả.
且说孙坚飞奔洛阳，遥望火焰冲天，黑烟铺地，二三百里，并无鸡犬人烟；坚先发兵救灭了火，令众诸侯各于荒地上屯住军马。	Tôn Kiên đi đến Lạc Dương thấy trong thành lửa cháy ngùn ngụt, ngọn lửa bốc lên tận trời; dưới đất khói đen mù mịt; trong một quãng hai ba trăm dặm, tịnh không có tiếng gà kêu chó cắn. Đầu tiên Kiên sai quân vào dập lửa, đoạn ra lệnh cho chư hầu đến đóng quân mã ở trên bãi đất hoang.
曹操来见袁绍曰：“今董贼西去，正可乘势追袭；本初按兵不动，何也？”	Tào Tháo đến, thấy Viên Thiệu cũng ở đấy, bèn hỏi rằng: - Nay Đổng tặc đã kéo về Trường An rồi, ta nên thừa thế mà đuổi theo bắt nó mới phải, Bản Sơ lại đóng quân ở đây, là ý làm sao?
绍曰：“诸兵疲困，进恐无益。”	Thiệu nói: - Chư hầu đều mỏi mệt cả, đuổi theo, tôi sợ không được việc gì.
操曰：“董贼焚烧宫室，劫迁天子，海内震动，不知所归：此天亡之时也，一战而天下定矣。诸公何疑而不进？”	Tháo nói: - Thằng giặc Đổng Trác đốt cung thất, bức vua thiên đô: Trong nước rối động, dân không biết theo ai. Ấy là lúc trời hại nó đấy, nhân lúc này chỉ đánh một trận là yên thiên hạ, sao các ông không đánh?
众诸侯皆言不可轻动。	Chư hầu đều nói: - Ta không nên khinh động.
操大怒曰：“竖子不足与谋！”	Tháo giận nói rằng: - Đồ trẻ con cả, không đáng cùng mưu đồ việc lớn!
遂自引兵万余，领夏侯惇、夏侯渊、曹仁、曹洪、李典、乐进，星夜来赶董卓。	Nói rồi tự dẫn hơn một vạn quân, sai Hạ Hầu Đôn, Hạ Hầu Uyên, Tào Nhân, Tào Hồng, Lý Điển, Nhạc Tiến, luôn ngày đêm đuổi theo Đổng Trác.
且说董卓行至荥阳地方，太守徐荣出接。	Khi Đổng Trác đi đến Vinh Dương, thái thú là Từ Vinh ra tiếp.
李儒曰：“丞相新弃洛阳，防有追兵。可教徐荣伏军荥阳城外山坞之旁，若有兵追来，可竟放过；待我这里杀败，然后截住掩杀。令后来者不敢复追。”	Lý Nho nói: - Thừa tướng mới đi khỏi Lạc Dương, tôi sợ có quân đuổi theo nên sai Từ Vinh phục quân ở bên cạnh núi ngoài thành; hễ có quân đuổi theo đi qua thì cứ để cho đi, đợi khi nào đi khỏi chỗ quân phục, trong này ta đánh trở ra, nó tất thua chạy, bấy giờ ông sẽ đánh chen đường, còn quân đi sau tất không dám đuổi nữa.
卓从其计，又令吕布引精兵遏后。	Trác nghe kế ấy, sai Lã Bố đem tinh binh đi chặn hậu.
布正行间，曹操一军赶上。	Bố đang đi bỗng có một toán quân Tào xấn đến.
吕布大笑曰：“不出李儒所料也！”	Bố cười nói rằng: - Lý Nho đoán không nhầm!
将军马摆开。曹操出马，大叫：“逆贼！	Bố đem quân mã bày dàn, Tào Tháo tế ngựa gọi to: - Nghịch tặc!
劫迁天子，流徙百姓，将欲何往？”	Bay bức thiên tử và đem trăm họ đi đâu?
吕布骂曰：“背主懦夫，何得妄言！”	Lã Bố mắng rằng: - Thằng phản chủ kia, sao dám nói càn?
夏侯惇挺枪跃马，直取吕布。	Hạ Hầu Đôn vác giáo nhảy ngựa, xông thẳng vào để đâm Lã Bố.
战不数合，李傕引一军，从左边杀来，操急令夏侯渊迎敌。	Đôn với Bố đánh nhau được vài hiệp. Lý Thôi dẫn một đội quân từ bên tả kéo ra. Tháo lại sai Hạ Hầu Uyên ra địch.
右边喊声又起，郭汜引军杀到，操急令曹仁迎敌。三路军马，势不可当。	Lúc bấy giờ lại thấy ở bên hữu có tiếng reo. Quách Dĩ kéo quân ra. Tháo sai Tào Nhân ra địch, nhưng đằng kia ba mặt quân mã đánh dồn lại, thế khó đương nổi.
夏侯惇抵敌吕布不住，飞马回阵。	Hạ Hầu Đôn chống với Lã Bố không lại, phi ngựa chạy về.
布引铁骑掩杀，操军大败，回望荥阳而走。	Bố thúc quân vào đánh gấp. Quân Tháo thua chạy kéo về Vinh Dương.
走至一荒山脚下，时约二更，月明如昼。	Khi chạy đến dưới sườn núi, bấy giờ đã canh hai, trăng sáng như ban ngày.
方才聚集残兵，正欲埋锅造饭，只听得四围喊声，徐荣伏兵尽出。	Tháo sắp sửa hội quân lại làm bếp thổi cơm ăn, bỗng nghe thấy bốn mặt tiếng reo ầm ầm, quân phục của Từ Vinh xông ra.
曹操慌忙策马，夺路奔逃，正遇徐荣，转身便走。	Tào Tháo vội vàng tế ngựa cướp đường chạy trốn; không ngờ gặp ngay Từ Vinh, Tháo lại quay đầu chạy.
荣搭上箭，射中操肩膊。	Vinh giương cung bắn một phát tên trúng ngay vào vai Tháo.
操带箭逃命，踅过山坡。两个军士伏于草中，见操马来，二枪齐发，操马中枪而倒。	Tháo vừa đeo tên vừa chạy; chạy qua một rặng núi, có hai tên lính phục trong đám cỏ, trông thấy ngựa Tháo đi đến, hai ngọn giáo cùng phóng ra.
操翻身落马，被二卒擒住。	
只见一将飞马而来，挥刀砍死两个步军，下马救起曹操。	May đâu một tướng vừa tế ngựa đến, múa dao chém chết hai tên lính, cứu được Tào Tháo.
操视之，乃曹洪也。	Tháo trông xem ai thì là Tào Hồng.
操曰：“吾死于此矣，贤弟可速去！”	Tháo bảo Hồng rằng: - Thôi! Ta đành chết ở đây, hiền đệ nên trốn đi mau.
洪曰：“公急上马！	Hồng nói rằng: - Xin ông lên ngựa ngay.
洪愿步行。”	Tôi tình nguyện đi bộ.
操曰：“贼兵赶上，汝将奈何？”	Tháo hỏi: - Giặc đuổi đến nơi, ngươi làm thế nào?
洪曰：“天下可无洪，不可无公。”	Hồng nói: - Thiên hạ có thể không có tôi, nhưng không thể không có ông!
操曰：“吾若再生，汝之力也。”	Tháo nói: - Ta nếu lại được sống, thực là nhờ ngươi đó!
操上马，洪脱去衣甲，拖刀跟马而走。	Tháo lên ngựa. Hồng cởi áo giáp, cắp dao chạy theo sau.
约走至四更余，只见前面一条大河，阻住去路，后面喊声渐近。	Chạy đến độ canh tư, chẹn mất đường đi. Đằng sau nghe thấy tiếng reo hò đã đến nơi.
操曰：“命已至此，不得复活矣！”	Tháo nói: - Thôi! Mệnh ta đến thế này, sống sao được nữa!
洪急扶操下马，脱去袍铠，负操渡水。	Hồng kíp vực Tháo xuống ngựa, cởi áo bào ra, cõng Tháo lội qua sông.
才过彼岸，追兵已到，隔水放箭。操带水而走。比及天明，又走三十余里，土冈下少歇。	Vừa sang đến bờ sông bên kia, quân đuổi cũng vừa đến, tên bắn qua sông như mưa, Tháo cứ mặc cả quần áo ướt, lướt thướt mà chạy, chạy mãi đến mờ mờ sáng, được ba mươi dặm, đến một gò đất mới tạm ngồi nghỉ hơi một chốc.
